record_id,field,value,coding_basis,locator,quote,rule_error
S40,c1_strategy,on_off_threshold,adjudicated,sec. 1-2 (system overview) and sec. 2.3 (coordinator hardware),"four different alarm lamps will be lit up by micro-controller, and the relays open related device which can change the temperature and humidity, such as the humidifiers, fans, sprayers and heating",Strategy probe matched only the word 'monitoring'; the body states relay switching against temperature/humidity thresholds.
S40,c2_trigger,time_triggered,rule,sec. 3.2 Software design of coordinator node; Fig. 11,"rdinator receives temperature and humidity data from acquisition sensor nodes, the information takes turns to show data every 10 s in LCD1602. The coordinator analyzes and judges whether the number is over the acquisitio",
S40,c3_architecture,standalone_embedded,rule,Fig. 1,"ode and three temperature and humidity acquisition terminal nodes, the hardware components of coordinator node includes microcontroller AT89S51, LCD 1602, ZigBee module (coordinator), 5V DC power supply. The acquisition ",
S40,e3_energy,power consumption is ultra-low,rule,sec. 2.1. The overall structure of the system,power consumption is ultra-low,
S40,evidence_type,lab_prototype_or_HIL,adjudicated,sec. 2.1 and sec. 2.3; sec. 4 Results,The ZigBee wireless sensor network consists of three terminal nodes and a coordinator node ... The LCD displays temperature and humidity data of the three sensor nodes alternately at intervals of 10 s,"No evidence probe matched, so the default simulation_only was emitted; the paper reports a built four-node ZigBee network, not a simulation."
S40,comparator_present,concurrent_experimental,rule,body text (no structural marker),"a to be unattended in a real application. The monitoring system has lower power, lower cost and larger network capacity compared with traditional wireless technology. 1． The overall structure of system The ZigBee network",
S41,p1_application,irrigation_outdoor,rule,body text (no structural marker),"ligence in Agriculture http://dx.doi.org/10.62762/DIA.2025.680966 RESEARCH ARTICLE Research on Precision Paddy Field Irrigation Control Technology Based on Multi-Source Sensing Hybrid Model 1 2,* 1 2 1 Hongliang Zhang , ",
S41,p2_dynamics_model,data_driven,rule,body text (no structural marker),"del and practical application for digital farmland system, couples the FAO-56 Penman-Monteith development. model with LSTM deep learning algorithms to establish a dynamic irrigation decision model, Keywords: precision ir",
S41,n1_protocol,LoRa_LoRaWAN,rule,sec. 15 Digital Intelligence in Agriculture,"5 bands: blue, green, UAV Platform radiometric calibration with Multispectral red, red-edge, NIR) reflectance panel LoRaWAN NTP time sync; 15-min transmission Ground IoT Soil VWC (±2%), pH (±0.3) wireless network interva",
S41,c1_strategy,Fuzzy,rule,sec. 17 Digital Intelligence in Agriculture; Fig. 3,s 2 consecutive years). Control accuracy of ±5% The device achieves precise water control through is achieved via a PID-fuzzy control algorithm: a three-level linkage mechanism: Cloud decision → Z de(t) Edge terminal (NV,
S41,c3_architecture,hybrid_cloud_edge,rule,sec. 2.1 Experimental Design,"edge layer with an embedded decision applications are implemented at a local scale and terminal (NVIDIA Jetson); and a cloud platform validated in small experimental plots (<1 ha), lacking for irrigation prescription gen",
S41,e1_control_quality,RMSE < 0,rule,sec. 15 Digital Intelligence in Agriculture,RMSE < 0,
S41,e3_energy,"mAh LiFePO4 battery, enabling ≥15 days",rule,sec. 1. Self-sustaining energy system: Integrates a,"mAh LiFePO4 battery, enabling ≥15 days",
S41,evidence_type,field_deployment,rule,sec. 2.1 Experimental Design,"al Design China [1]. However, traditional flooding irrigation is characterized by three major challenges: (1) Water The field experiment was carried out at Youyi Farm waste — Field leakage and surface runoff cause (131.8",
S41,comparator_present,concurrent_experimental,rule,sec. 2.4 Hybrid Decision Model,"system. The spatiotemporal alignment 2.5.2 Core Technological Innovations module accomplishes geographic registration, Compared with traditional irrigation sluice gates (in temporal synchronization, and grid resampling, ",
S41,article_type_flag,primary_study,rule,body text (no structural marker),"Digital Intelligence in Agriculture http://dx.doi.org/10.62762/DIA.2025.680966 RESEARCH ARTICLE Research on Precision Paddy Field Irrigation Control Technology Based on Multi-Source Sensing Hybrid Model 1 2,* 1 2 1 Hongl",
S42,p1_application,hydroponic_cea,rule,sec. Introduction,"ing health of cattle 2023 [22] Indore, India • Robotic and automatic system • IoT assists farmers by continuously for hydroponic farming identifying water levels and other • Sensors used - pH, ultra- contaminants sonic, ",
S42,p2_dynamics_model,data_driven,rule,sec. 52.048 Wh or 0.052 kWh per day.,"ations, this capability extends to policymakers, agricultural services, and industry stakeholders, providing them with data-driven insights. These insights help in formulating evidence-based policies and directing invest",
S42,n1_protocol,NB_IoT_cellular,rule,body text (no structural marker),or a SIS. The e0316911. https://doi.org/10.1371/ journal.pone.0316911 IoT system consists of soil moisture sensor with GSM module powered by PV and an algorithm was developed to adjust irrigation schedules based on soil ,
S42,c1_strategy,on_off_threshold,rule,sec. Introduction,"this state, the sensor reading was found to be 218. These values were considered to classify the dryness of soil and threshold for operating the water pump, explained in algorithm section. Modeling for rainwater harvesti",
S42,c3_architecture,cloud,rule,sec. Introduction,"- • Monitored through mobile apps. perature, and rainfall sensors • Web interface is developed in are used ThinkSpeak cloud platform • Motor pump is controlled using mobile application 2023 [2] Brassica Juncea, • Smart g",
S42,e1_control_quality,Water saving technology • Higher yields,rule,sec. Introduction; Table 1,Water saving technology • Higher yields,
S42,e3_energy,energy saving up to 9,rule,sec. Introduction,energy saving up to 9,
S42,evidence_type,lab_prototype_or_HIL,rule,sec. Introduction,"o measure animal body temperatures, GPS is employed for animal tracking, and RFID is used for animal identification. A prototype of the proposed tracking service is developed and tested within a service scenario. A proje",
S42,article_type_flag,primary_study,rule,body text (no structural marker),"PLOS ONE RESEARCH ARTICLE Sustainable Smart Irrigation System (SIS) using solar PV with rainwater harvesting technique for indoor plants Syed Zahurul Islam 1☯ ∗ , Muhammad Saufi Bi",
S43,n1_protocol,WiFi,rule,Fig. 4,ic board. A SOLAR-POWERED FERTIGATION SYSTEM BASED ON LOW-COST WIRELESS SENSOR NETWORK REMOTELY CONTROLLED BY … 61 WiFi (b) Transmission unit (a) (a) Fig. 4. View of the watermark soil moisture sensor (a) and output freq,
S43,c2_trigger,time_triggered,rule,sec. III. FERTIGATION SYSTEM’S DESCRIPTION,"inator node, the Wi-Fi one because it allows to implement by using commercial operation is repeated in reiterative way (every 2 minutes) until devices a low cost WSN respecting the technical requirements. the connection ",
S43,c3_architecture,cloud,rule,body text (no structural marker),"d data by using dynamic agronomic models implemented the environmental impact. The solution allows the integration on a cloud platform, for optimizing the amount and typology of and optimized management of the traditiona",
S43,e3_energy,power consumption; after the cycle restarts,rule,sec. III. FERTIGATION SYSTEM’S DESCRIPTION,power consumption; after the cycle restarts,
S43,evidence_type,lab_prototype_or_HIL,rule,sec. III. FERTIGATION SYSTEM’S DESCRIPTION; Fig. 15,"c application, a diode can be used to set the MPPC threshold in order to track the solar cell over- Fig. 15. Rrealized prototype sensor node equipped with 90 F super-capacitor temperature; referred to the DC1587A board, ",
S44,p1_application,irrigation_outdoor,rule,sec. 10 RHopt; p.10/27,"ting the water and fertilizer mixing ratio, the actual fertilizer amount can be further calculated based on the current sprinkler irrigation amount Watervol,final as follows: Fvol = Mwf · Watervol,final (5) After determi",
S44,p2_dynamics_model,data_driven,rule,sec. 1. Introduction,"iculture, long the foundation of human civilization, is now undergoing a rapid transition from traditional practices to data-driven, intelligent systems [1]. Population growth, accelerating climate change, and the increa",
S44,n1_protocol,WiFi,rule,sec. 1. Introduction; p.3/27,"(STMicroelectronics, Geneva, Switzerland) platform with integrated sensing and UART-based wireless communication via an ESP8266 Wi-Fi module, the system integrates real-time environmental monitoring with intelligent deci",
S44,n2_latency,delay ≤ 50 ms,rule,sec. 4.1. Software Control Architecture; p.7/27; Fig. 7,delay ≤ 50 ms,
S44,c1_strategy,Fuzzy,rule,sec. 4.5. Fertigation Motion Control; p.12/27,"nit, a 72 MHz STM32F1 microcontroller (STMicroelectronics, Geneva, Switzerland), executes the control tasks and applies fuzzy control to model the polar motion of the irrigation arm while managing pulse output. However, ",
S44,c3_architecture,standalone_embedded,rule,sec. Abstract,"tal heterogeneity. This study proposes an autonomous, cross-regional intelligent fertigation system based on an STM32F1 microcontroller and UART communication protocols. The system integrates a mechanically adjustable ir",
S44,e1_control_quality,overshoot to below 5% and decreases the stabilization time to 0,rule,sec. 4.5. Fertigation Motion Control; p.12/27,overshoot to below 5% and decreases the stabilization time to 0,
S44,e3_energy,power consumption ≤ 100 mW,rule,sec. 4.1. Software Control Architecture; p.7/27,power consumption ≤ 100 mW,
S44,evidence_type,lab_prototype_or_HIL,rule,sec. Abstract,"tigation module, a data interconnection unit, and comprehensive control software with dynamic calibration capabilities. Prototype evaluations conducted on both sloped terrain (up to 38◦ ) and flat surfaces demonstrate a ",
S44,comparator_present,concurrent_experimental,rule,sec. 4.4. Fertilizer Delivery Motion Control; p.11/27,"duction without adjustment, but the closed-loop system suppresses this to within the overall flow control error range). Compared with traditional fixed-aperture designs (which exhibit >10% flow fluctuation), this system ",
S45,p1_application,irrigation_outdoor,rule,body text (no structural marker),"es at the lowest rate of 0.268 kbps to a distance of 4 km, whereas, at 10.937 kbps, it only takes 0.9 s. The results of field irrigation trials during the wheat grain filling stage have demonstrated that the irrigation a",
S45,p2_dynamics_model,data_driven,rule,sec. 802.15.1 Wi-Fi; p.3/27,eld environmental information to construct a crop water requirement prediction model based on the back propagation (BP) neural network. Vianny et al. [20] proposed a hybrid irrigation forecasting model based on machine l,
S45,n1_protocol,LoRa_LoRaWAN,rule,sec. 1. Introduction; p.2/27,on area network. Ramson et al. [12] developed a soil health monitoring system whose selfpowered terminal nodes utilized LoRaWAN (wide area network) to achieve long-distance transmission of information. To achieve the man,
S45,n3_packet_loss,packet loss occurs,rule,sec. 3.1. System Communication Tests; p.17/27,packet loss occurs,
S45,c1_strategy,Fuzzy,rule,sec. 802.15.1 Wi-Fi; p.3/27,"e irrigation. At present, in the field of water-saving irrigation, various control algorithms such as machine learning, fuzzy control, and evapotranspiration (ET) have been introduced. Benzaouia et al. [18] proposed a fe",
S45,c2_trigger,time_triggered,rule,sec. 2.2.1. Node Software Design; p.10/27; Fig. 6,"e gateway. Utilizing the overflow interrupt flag of a defined timer, the program reads the flow meter’s cumulative flow every 30 s and compares it against the designated irrigation volume. Once the target irrigation volu",
S45,c3_architecture,hybrid_cloud_edge,rule,sec. 2.1.2. Gateway Hardware Design; p.7/27,"e edge computing gateway of the smart irrigation system serves as the central component, connecting LoRa nodes with the cloud platform, collecting meteorological data, analyzing and processing information, and running ir",
S45,e1_control_quality,water saving,rule,body text (no structural marker),water saving,
S45,e3_energy,power consumption,rule,sec. 2.1.1. Node Hardware Design; p.7/27,power consumption,
S45,evidence_type,field_deployment,rule,sec. 3.1. System Communication Tests; p.17/27; Fig. 10,"smission rates, providing a reference for users to deploy wireless sensor networks in real-world application scenarios. On-site deployment is as shown in Figure 10: the gateway is placed at a fixed location to operate an",
S46,p1_application,greenhouse_microclimate,rule,body text (no structural marker),"sensors Review Leveraging LoRaWAN Technology for Precision Agriculture in Greenhouses Ritesh Kumar Singh * Rafael Berkvens , Michiel Aernouts , Mats De Meyer, Maarten Weyn and University of Antwerp - imec, IDLab - Facult",
S46,p2_dynamics_model,data_driven,rule,sec. 2. Related Work; p.5/18,"[39], developed combination of neural networks by using color constancy method to normalize different color of images. Neural network-based prediction of soil water is used in the paper [40], for the management of water ",
S46,n1_protocol,LoRa_LoRaWAN,rule,body text (no structural marker),"sensors Review Leveraging LoRaWAN Technology for Precision Agriculture in Greenhouses Ritesh Kumar Singh * Rafael Berkvens , Michiel Aernouts , Mats De Meyer, Maarten Weyn and University of",
S46,n3_packet_loss,packet loss Minimize frequency of communication Remote installation,rule,"sec. 3. Materials, Methods and Field Tests in a Green; p.6/18",packet loss Minimize frequency of communication Remote installation,
S46,c3_architecture,edge_local,rule,"sec. 3. Materials, Methods and Field Tests in a Green; p.6/18; Fig. 3/Table 3","d load balancing Sensor holes Network quality and coverage analysis Sensor, power, connectivity and coverage analysis Fog computing Machine learning, storage .. Optimization of energy and message frequency Dashboard, ale",
S46,e1_control_quality,ise,rule,sec. 3.3. Optimal design for sensor box; p.10/18; Fig. 7/Fig. 8,ise,
S46,e2_network_resource,duty cycle is not a primary concern while deploying LoRaWAN-,rule,sec. 3.2. Communication Technology; p.7/18; Table 3/Fig. 4,duty cycle is not a primary concern while deploying LoRaWAN-,
S46,e3_energy,power consumption,rule,body text (no structural marker),power consumption,
S46,evidence_type,field_deployment,rule,sec. 3.4. Architecture Schema of WSN Communication in; p.10/18; Fig. 8/Fig. 2,"e In Figure 2, we illustrate the high-level architecture and deployment setup in the greenhouse. It comprises of the on-field deployment of the sensors and gateway and processing of the data at the back end. The hardware",
S46,article_type_flag,secondary_review,rule,body text (no structural marker),"sensors Review Leveraging LoRaWAN Technology for Precision Agriculture in Greenhouses Ritesh Kumar Singh * Rafael Berkvens , Michiel Aernouts , Mats De Meyer, Maarten Weyn",
S48,n1_protocol,mixed,rule,sec. 2.4. Long-Range Low-Power Systems Using LoRaWAN ,"s and the system’s complexity may pose challenges for wide- spread adoption. 2.4. Long-Range Low-Power Systems Using LoRaWAN Technology In recent years, the adoption of low-power wide-area network (LPWAN) technol- ogies ",
S48,n3_packet_loss,packet error rate below 20%,rule,sec. 2.4. Long-Range Low-Power Systems Using LoRaWAN ,packet error rate below 20%,
S48,c1_strategy,Fuzzy,rule,sec. 2.4. Long-Range Low-Power Systems Using LoRaWAN ,"ovements in resource management and sus- tainability. In [13], Artetxe et al. proposed a cutting-edge system combining fuzzy logic, LoRa communication, and cloud computing for precision irrigation. The study highlights h",
S48,c3_architecture,cloud,rule,body text (no structural marker),". The system utilizes LoRa technology for long-range wire- This work is licensed under the Creative less communication, Blynk platform for real-time data visualization and con- Commons Attribution International trol, and",
S48,e3_energy,"power consumption, etc",rule,body text (no structural marker),"power consumption, etc",
S48,evidence_type,lab_prototype_or_HIL,rule,sec. 4.1.1. Sensor Node; Fig. 3/Fig. 4,"module, transceiver module, and power module. The proto- type of the sensor node is shown in Figure 4. Figure 4. Prototype of sensor node. • Sensor connectors: the DHT22 sensor, capacitive soil moisture sensor, DS18B20 s",
S52,p1_application,irrigation_outdoor,rule,sec. 2.1. IoT Smart Irrigation Systems; p.4/33,"ter level Node MCU Bluetooth, BLE Thingspeak Irrigation (m3 /year) Thermal imaging Decision Support System (DSS) Drip irrigation Sprinkler Water conductivity Arduino Mega RFID Energy consumption Energy harvesting Testbed",
S52,n1_protocol,LoRa_LoRaWAN,rule,body text (no structural marker),"ementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Applications Based on LoRa and LoRaWAN Sensor Nodes † Iván Froiz-Míguez 1,2 , Peio Lopez-Iturri 3,4 , Paula Fraga-Lamas 1,2, * , Mi",
S52,n3_packet_loss,packet losses and even to a wireless communication outage,rule,sec. 4.3. Simulation Results; p.19/33; Fig. 13,packet losses and even to a wireless communication outage,
S52,c1_strategy,Fuzzy,rule,sec. 2.1. IoT Smart Irrigation Systems; p.3/33; Table 1,"d energy harvesting. A different approach is proposed by Munir et al. [15], which uses an intelligent method based on a fuzzy logic to schedule irrigation based on different parameters. Since the design of smart irrigati",
S52,c3_architecture,cloud,rule,sec. 2.1. IoT Smart Irrigation Systems; p.4/33,"year) Machine learning (AI) Control System Spray irrigation Ad hoc Valves Water level Node MCU Bluetooth, BLE Thingspeak Irrigation (m3 /year) Thermal imaging Decision Support System (DSS) Drip irrigation Sprinkler Water",
S52,e1_control_quality,water saving,rule,sec. 2.4. Key Findings; p.6/33,water saving,
S52,e2_network_resource,duty cycle limit of on-air time,rule,sec. 3.3. LoRa and LoRaWAN; p.9/33,duty cycle limit of on-air time,
S52,e3_energy,"energy consumption, this",rule,body text (no structural marker),"energy consumption, this",
S52,evidence_type,mixed_experiment_and_simulation,adjudicated,sec. 1 Introduction (contribution list); sec. 4-5 (testbed and measurements),"The radio planning analysis of the scenario (i.e., a university campus) is presented together with an empirical measurement campaign to corroborate the analytical results.",First-match rule saw 'simulation results' before the testbed description; the paper combines ray-launching simulation with an empirical measurement campaign on a deployed campus system.
S52,article_type_flag,primary_study,rule,body text (no structural marker),"sensors Article Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Applications Based on LoRa and LoRaWAN Sensor Nodes † Iván",
S55,n1_protocol,LoRa_LoRaWAN,rule,body text (no structural marker),IOP Conference Series: Earth and Environmental Science PAPER • OPEN ACCESS You may also like - Enhanced LoRaWAN performance Design of IoT Monitoring System Based on through advanced spread factor allocation empowered by ,
S55,n3_packet_loss,"Packet Delivery Ratio), which show the results of the quality of",rule,sec. 3. Methods,"Packet Delivery Ratio), which show the results of the quality of",
S55,c1_strategy,none_monitoring_only,rule,body text (no structural marker),: Earth and Environmental Science PAPER • OPEN ACCESS You may also like - Enhanced LoRaWAN performance Design of IoT Monitoring System Based on through advanced spread factor allocation empowered by machine learning LoRa,
S55,e1_control_quality,"water savings by 22% - 33%, so that the use of smart greenhouses supports",rule,sec. 1. Introducing,"water savings by 22% - 33%, so that the use of smart greenhouses supports",
S55,e3_energy,"power consumption, and high robustness are just a",rule,sec. 2.2. LoRA and LoRaWAN,"power consumption, and high robustness are just a",
S55,evidence_type,lab_prototype_or_HIL,rule,sec. 3. Methods; Fig. 3/Fig. 4,"Linux server. The design of the system is shown in figure 3. Figure 3. LoRa and MQTT server designed Build the (prototype) system. The circuit made is placed in a box built on ESP32, The LoRa SX1276 and DHT22 devices and",
S57,p1_application,hydroponic_cea,rule,body text (no structural marker),"o, Erukala Suresh Babu, P. Siva Naga Raju , Ilaiah Kavati Abstract: This paper proposesan efficient monitoring unit for Controlled Environment Agriculture (CEA) system based on hydroponics environment using various IoTse",
S57,n1_protocol,WiFi,rule,sec. 8778 Figure-1 Controlled Environment Agriculture,ced by various researchers. BoSun.et.al put forth Crop Monitoring System Based on Wireless Sensor for Agriculture Using Wi-Fi Networking which he coupled wireless technologies with the sensor based devices to monitor man,
S57,c1_strategy,none_monitoring_only,rule,body text (no structural marker),"logy and Engineering (IJRTE) ISSN: 2277-3878, Volume-8 Issue-3, September 2019 Smart Agriculture: Automated Controlled Monitoring System using Internet of Things Mekala Srinivasa Rao, Erukala Suresh Babu, P. Siva Naga Ra",
S57,c3_architecture,standalone_embedded,rule,sec. 3.3 System Architecture,"stem Architecture This subsection presents the system architecture of the proposed system, which is modelled using AMD (Arduino Mega Development)kit that is connected with various sensor nodes like light sensor for measu",
S57,evidence_type,lab_prototype_or_HIL,rule,sec. 3.4 Software System Design:; Fig. 1/Fig. 2,"Figure 1 and Figure 2 shows the future scope of CEA, which can be achieved with the proposed model. Figure 4 shows the prototype of monitoring device with sensors, which is tested on a tomato plant and the results are re",
S58,p1_application,greenhouse_microclimate,rule,body text (no structural marker),"ural Engineering 2021; volume LII:1105 Wireless sensor network to identify the reduction of meteorological gradients in greenhouse in subtropical conditions Thais Queiroz Zorzeto Cesar, Paulo Ademar Martins Leal, Omar Ca",
S58,n1_protocol,none_no_network,rule,body text,no protocol term found in body text,
S59,p1_application,irrigation_outdoor,rule,Fig. 3,"the precise location of the pilot (a), highlights the winery and two selected plots (b), and the vineyard featuring the drip irrigation system during the harvest (c). Figure 3 Guaspari Pilot: ( a ) Map of Brazil showing ",
S59,n1_protocol,LoRa_LoRaWAN,rule,Fig. 1,"e), plant (e.g., growing stage) and weather (e.g., air temperature), as well as LPWAN communication technologies (e.g., LoRaWAN [ 28 ]) are abstracted in this layer. The SWAMP pilots use commercial sensors as well as a h",
S59,n2_latency,delay and 5 ms,rule,Fig. 12/Table 1,delay and 5 ms,
S59,c2_trigger,time_triggered,rule,body text (no structural marker),"pplication. System metrics: CPU and RAM usage per Docker container, which allows observing each application, collected every 5 s. Experiment metrics: The duration of the experiment given by the number of replications (be",
S59,c3_architecture,hybrid_cloud_edge,rule,body text (no structural marker),xperiments. Both fog and cloud were implemented using virtual machines (VM) in OpenStack. The following standard Amazon AWS VM configurations were deployed: cloud VM equivalent to a t2.medium instance (2vCPU—4 GB of RAM),
S59,e3_energy,"energy consumption that represents up to 30% of the production cost, by implem",rule,Fig. 2,"energy consumption that represents up to 30% of the production cost, by implem",
S59,evidence_type,lab_prototype_or_HIL,rule,body text (no structural marker),"and infrastructures, such as fog computing. Martínez et al. [ 24 ] give a detailed description of the architecture of a testbed of the FIWARE platform configured for the precision agriculture domain. It differs from our ",
S60,n1_protocol,ZigBee_802154,rule,body text (no structural marker),"orchard terrain features, soil differences, species characteristics and the state of tree growth. With the help of the ZigBee technology, artificial intelligence and decision support technology, this paper has developed ",
S60,c1_strategy,none_monitoring_only,rule,body text (no structural marker),chards and significantly improve the yield of citrus. 2. Overall Structure 2.1. System Design Objectives The real-time monitoring system of citrus soil moisture and nutrient is designed to monitor the soil moisture and n,
S60,e3_energy,"power consumption, strong mobility and other advantages in deployment and mai",rule,body text (no structural marker),"power consumption, strong mobility and other advantages in deployment and mai",
S61,p1_application,greenhouse_microclimate,rule,body text (no structural marker),commons.org/licenses/by/4.0/ ). The direction of sunshine or the installation sites of environmental control facilities in the greenhouse result in different temperature and humidity levels in the various zones of the gr,
S61,n1_protocol,ZigBee_802154,rule,body text (no structural marker),"the greenhouse. At present, the common communication transmission standards on the market include Bluetooth, WiFi, and Zigbee, etc . Embedded wireless sensor modules are accepted by many users for their low energy consum",
S61,c1_strategy,MPC,rule,body text (no structural marker),"y simplified models and intelligent control method are used for greenhouse application, such as neural networks [ 16 ], model predictive control [ 17 ], gradient modeling [ 18 ], dynamic modeling [ 19 ], wireless-based r",
S61,c3_architecture,standalone_embedded,rule,body text (no structural marker),"The direct-current (DC) fan blows the drip into the environment, humidifying and cooling the regional environment. The microcontroller sends a pulse-wide-modulation (PWM) signal to the solid-state-relay (SSR) to control ",
S61,e3_energy,energy consumption to achieve standardized production,rule,body text (no structural marker),energy consumption to achieve standardized production,
S61,evidence_type,lab_prototype_or_HIL,rule,body text (no structural marker),"ge wetted pad system can be installed for environmental control in a large greenhouse. 5. Conclusions In this paper, a prototype for a proposed scheme based on a fuzzy rule-based system has been proposed, and it is used ",
S63,p1_application,greenhouse_microclimate,rule,sec. Abstract,Fault-tolerance · Reliability 1 Introduction observations and measure the environmental parame- ters and conditions inside the greenhouse in order to get Greenhouses have a fundamental role in modern agricul- more precis,
S63,n1_protocol,mixed,rule,sec. Abstract,reenhouses based on Networked Control Systems. This architecture is IoT-based and built on top of switched Ethernet and Wi-Fi. Some sensors in the proposed architecture require a one-second real-time deadline. Riverbed s,
S63,n2_latency,"delay, it changes for greenhouse 1 from 5.96 ms",rule,sec. 5.5 Greenhouse 1 Greenhouse 2; Fig. 8/Table 4,"delay, it changes for greenhouse 1 from 5.96 ms",
S63,n3_packet_loss,packet loss and no over-delayed packets,rule,sec. Abstract,packet loss and no over-delayed packets,
S63,c1_strategy,none_monitoring_only,rule,sec. Abstract,"[8, 9]. According to the gath- posed system architecture is demonstrated with the sim- ered information coming from the monitoring system, ulation setup in Sect. 4. The Riverbed simulation results decisions can be taken ",
S63,c2_trigger,time_triggered,rule,sec. Abstract,"fire extinguisher actuator. All of the taken inside the greenhouse(s) from Layer 1 and Layer 2, actuators take actions every 30 s expect for the fire actua- respectively, (2) reprogram the controller of the individual to",
S63,c3_architecture,cloud,rule,sec. Abstract,"mation (after analyzing it and implements the control actions taken by either of the creating aggregating reports) to a cloud server for storage other two layers of the architecture. For instance, it and extensive data a",
S63,e3_energy,mW,rule,sec. Abstract,mW,
S63,evidence_type,simulation_only,rule,sec. Abstract,"s demonstrated with the sim- ered information coming from the monitoring system, ulation setup in Sect. 4. The Riverbed simulation results decisions can be taken regarding what should be done and analysis are presented i",
S66,p2_dynamics_model,higher_order,rule,body text (no structural marker),"ar time invariant system where every sensing and actuating links are closed over the wireless network [ 49 ]. The plant state-space model [ 49 ] is (18) x ˙ ( t ) = A x ( t ) + B u ( t ) where (19) A = 0 1 0 − 0.1 , B = ",
S66,n1_protocol,ZigBee_802154,rule,Fig. 1,"mission slots for sensing and actuation. The intra-cluster subframe is similar to the frame structure of beacon-enabled IEEE 802.15.4 [ 42 ]. After CHs are decided, each CH periodically broadcasts the beacon frame in eve",
S66,n3_packet_loss,"packet loss in both sensing and actuating links, respectively",rule,body text (no structural marker),"packet loss in both sensing and actuating links, respectively",
S66,c1_strategy,MPC,rule,body text (no structural marker),ol system is proposed by integrating the control design and the network routing of the WirelessHART standard [ 6 ]. The model predictive control design combines the observer based on an extended Kalman filter and the act,
S66,e1_control_quality,settling time with the larger overshot due to the poor feedback delay and,rule,Fig. 10,settling time with the larger overshot due to the poor feedback delay and,
S66,e3_energy,energy consumption [ 18 ],rule,body text (no structural marker),energy consumption [ 18 ],
S66,evidence_type,simulation_only,rule,body text (no structural marker),tion and power system protection are around 100 [ 3 ]. We assume that the MAD is equal to the MATI value. We obtain the simulation results out of 10 experimental runs of 10 5 slots each. We compare the proposed R-WSAN pr,
S67,p1_application,irrigation_outdoor,rule,body text (no structural marker),"urces: The nearest weather station, the moisture sensors (analog or digital), the type of crop, and the features of the irrigation system in the monitored field. Therefore, Smart&Green also contributes to the solution of",
S67,p2_dynamics_model,data_driven,rule,body text (no structural marker),"avings over six months ( Section 5.3 ). 2.4. Soil Moisture Prediction In [ 43 ], the Linear Regression, Decision Tree, Random Forest, and Gradient Boosting with Regression Tree (GBRT) machine learning (ML) techniques wer",
S67,n1_protocol,LoRa_LoRaWAN,rule,body text (no structural marker),"latforms such as the Arduino [ 10 , 11 , 12 , 13 , 14 ] or Raspberry Pi [ 15 , 16 , 17 ]. Zigbee [ 11 , 17 , 18 , 19 ], LoRa [ 16 ], Wifi [ 20 ], Bluetooth [ 14 ], GSM [ 12 ], and GPRS [ 21 ] are the predominant wireless",
S67,c1_strategy,none_monitoring_only,adjudicated,sec. Appendix/irrigation-need discussion (IWN computation),"Although this present work does not handle an automatic irrigation system, this issue is a concern",Strategy probe found no match; the paper explicitly disclaims automatic irrigation control.
S67,c3_architecture,cloud,rule,body text (no structural marker),"ure gathering from fields with analog tensiometers (e.g., field 2 of Figure A1 ) in the Javascript language through the Firebase platform [ 71 ], React Native framework [ 72 ], Realm [ 73 ], and React Native Firebase [ 7",
S67,e1_control_quality,RMSE (Root Mean Squared Error) and the MAE (Mean Absolute Error),rule,body text (no structural marker),RMSE (Root Mean Squared Error) and the MAE (Mean Absolute Error),
S67,comparator_present,within_model_comparison,rule,Table 6/Fig. 9,"moisture data without an outlier removal technique. The use of the global approach data saved an average of 53.1% when compared to the IWN baseline, and the use of local approach data without preprocessing saved 100% ( T",
