record_id,record_role,title,year,doi,metadata_status,evidence_tier,evidence_basis,fulltext_status,fulltext_locator,application_class,application_confidence,protocol_class,protocol_confidence,control_strategy,control_confidence,pnce_evidence_note,D1_selection_judgement,D1_selection_support,D2_performance_judgement,D2_performance_support,D3_detection_judgement,D3_detection_support,D4_attrition_judgement,D4_attrition_support,D5_reporting_judgement,D5_reporting_support,D6_information_leakage_judgement,D6_information_leakage_support,rob_overall,rob_basis,applicability_note,audit_status,reviewer_id,audit_date
S37,analytical_primary,IoT-Enabled Adaptive Watering System With ARIMA-Based Soil Moisture Prediction for Smart Agriculture,2025,10.1109/access.2025.3532447,verified original seed,E1,verified_metadata,inaccessible_after_lawful_retrieval_attempts,,irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'ARIMA-Based Soil Moisture Prediction' (forecasting, not a control strategy in taxonomy) | Full-text audit: No correction justified. Retain caution that ARIMA prediction alone is not a named control strategy until full text confirms its actuator/decision role.",not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Irrigation relevance is metadata-level only; ARIMA forecast/control integration and evaluation cannot be established.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S38,analytical_primary,"Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration",2024,10.3390/electronics13101949,verified original seed,E3,full_text,fulltext_reviewed,"Electronics 2024, 13, 1949, pp. 1–18: Materials and Methods pp. 3–10 (Tables 1–3, Figs. 1–7); Results pp. 10–16 (Figs. 8–14); Conclusions pp. 16–17.",irrigation_outdoor,medium,LoRaWAN_LPWAN,high,Fuzzy_PID,high,"title: 'Fuzzy Logic, LoRa, and Cloud Integration' | Full-text audit: Confirm P=irrigation, N=LoRa plus cloud/fog service, C=fuzzy continuous controller with forecast-adjusted reference, E=HiL tests (including four-day comparator). Qualify all water-saving statements as HiL/model evidence, not field crop evidence.",high,All validation is laboratory hardware-in-the-loop (HiL) water-balance modelling rather than a crop deployment (Materials and Methods pp. 3–10; Conclusions p. 16).,some_concerns,"A fuzzy controller is compared with hysteretic on/off control over a four-day simulated experiment, but matched tuning and independent replication are not established (Results, Fig. 12 and text pp. 12–14).",some_concerns,"VWC tracking and water input are defined, but results are model/HiL outcomes with no measured crop outcome or field uncertainty (Results pp. 10–16).",unclear,"The report does not state repetitions, random seeds, failed runs, or exclusions for the HiL experiments (Results pp. 10–16).",some_concerns,"Model parameters, fuzzy output values/rules, and architecture are reported (Tables 1–3; Figs. 1–7), but no code, raw traces, or executable configuration is provided.",high,"For the forecast experiment, historical weather data are used and the authors state the contemporaneous forecasts could not be accessed, so forecast error was introduced; this does not demonstrate a prospectively available forecast stream (Results pp. 14–16).",high,Locator-backed full-text adapted RoB audit.,"Mechanistic/HiL evidence for LoRa-cloud fuzzy irrigation control, not deployed irrigation or crop-effectiveness evidence.",fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
S39,analytical_primary,Evaluation of event-based irrigation system control scheme for tomato crops in greenhouses,2017,10.1016/j.agwat.2016.08.008,verified original seed,E1,verified_metadata,inaccessible_after_lawful_retrieval_attempts,,greenhouse_microclimate,high,unspecified,low,ETC_event_triggered,high,"title: 'event-based irrigation system control scheme ... tomato crops in greenhouses' | Full-text audit: No correction; retain event-triggered classification based only on title metadata, pending locator-backed review.",not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,"Title indicates direct greenhouse tomato event-based irrigation relevance, but evaluative design/findings cannot be asserted without full text.",retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S40,analytical_primary,System Design of Online Monitoring and Controlling System Based on Zigbee in Greenhouse,2015,10.1007/978-3-319-19620-6_76,verified original seed,E2,full_text,fulltext_reviewed,"Full text (HAL deposit inria hal-01420287), Sections 1-4; in particular Section 2.3 (coordinator design), Section 3 with Figs. 9-12 (control logic/software), and Section 4 (Results and Conclusion).",greenhouse_microclimate,high,ZigBee,high,unspecified,low,"title: 'Based on Zigbee in Greenhouse' (monitoring/controlling, no named strategy) | Full-text audit: No correction justified; retain ZigBee classification but leave control strategy/evaluation unspecified. | Full-text audit (pass 2): The full text confirms P=greenhouse temperature/humidity context, N=ZigBee star network, and C=automatic threshold-triggered relays for humidifiers, fans, sprayers, and heating (Sections 1-3). Reclassify E as qualitative prototype/functionality evidence rather than a quantified performance, water-use, or yield evaluation; the supported tier is E2, not E3.",high,"The reported evaluation is a single four-node star network (one coordinator and three end nodes) about 70 m apart; no greenhouse site, crop, operating duration, or replication is reported (Section 4).",not_assessable,"No concurrent comparator system, baseline, or alternative control/network configuration is evaluated; Section 4 reports functionality of the implemented network only.",high,"Section 4 reports qualitative functional observations (node addresses, LCD showing 0 after an end node is removed, temperature/humidity display restored on rejoin) without defining any numerical metric, unit, measurement window, or quantitative monitoring/control result.",some_concerns,"Node removal and rejoin behaviour is described (Section 4), but no repetitions, packet/run denominators, failed runs, missing observations, or missing-data rule are reported.",high,"Hardware and logic are described (Sections 1-3; Figs. 1-12), but no source code, raw temperature/humidity series, threshold values, complete test protocol, or reproducible experimental artifact is supplied.",not_assessable,"The system is described as real-time threshold-based relay control (Sections 2.3 and 3; Fig. 9), not a predictive-model evaluation, so no temporal validation protocol applies.",high,Locator-backed full-text adapted RoB audit (pass-2 lawful OA retrieval).,"Agricultural application evidence: a greenhouse ZigBee prototype for temperature/humidity monitoring and threshold relay control. It is engineering feasibility evidence only, with limited reported deployment context and no quantitative or comparative agricultural-effectiveness outcome.",fulltext_review_complete,pass2_fulltext_audit_2026,2026-08-10
S41,analytical_primary,Research on Precision Paddy Field Irrigation Control Technology Based on Multi-Source Sensing Hybrid Model,2025,10.62762/dia.2025.680966,verified original seed,E3,full_text,fulltext_reviewed,Full text pp.15--20; Sections 2.1--2.7 pp.15--18; Tables 3--9 pp.19--20.,irrigation_outdoor,high,unspecified,low,unspecified,low,"title: 'Precision Paddy Field Irrigation ... Multi-Source Sensing Hybrid Model' (hybrid refers to model, not control)",some_concerns,"Two-year 80-ha field study at one rice farm, three blocks/treatment (p.15).",some_concerns,Control and RCBD stated; allocation/co-intervention balance incompletely described (p.15).,low,"Two seasons with defined irrigation, yield, nitrogen, accuracy and stability outcomes (pp.15,18--20).",some_concerns,"Failures reported, but missingness and exclusions not quantified (pp.16,20).",some_concerns,Methods detailed; no code/raw field data/model artifact (pp.15--18).,some_concerns,70/15/15 split not stated chronological; interpolation/LSTM may use future information (pp.16--17).,some_concerns,Locator-backed full-text audit using adapted D1--D6 engineering RoB framework.,Two-season single-farm comparative field evidence; limited external validity.,fulltext_review_complete,independent_fulltext_review_2026,2026-08-09
S42,analytical_primary,Sustainable Smart Irrigation System (SIS) using solar PV with rainwater harvesting technique for indoor plants,2025,10.1371/journal.pone.0316911,verified original seed,E2,full_text,fulltext_reviewed,Full text; system design Figs.1--7/Tables 2--3; results PDF pp.17--25; S1--S3 Tables p.25.,irrigation_outdoor,low,unspecified,low,unspecified,low,title: '... for indoor plants' (indoor conflicts with outdoor; verify application),some_concerns,Indoor prototype with short subsystem tests; limited sites/crops/conditions (pp.17--25).,not_assessable,No concurrent irrigation comparator (pp.17--25).,some_concerns,Short hardware horizons; no long-term plant/water outcome (p.25).,some_concerns,No missing-run/exclusion protocol (p.25).,some_concerns,"Architecture/specifications supplied; no code/raw dataset (Figs.1,5--7; Tables 2--3).",not_assessable,"Real-time prototype, no predictive validation protocol.",some_concerns,Locator-backed full-text audit using adapted D1--D6 engineering RoB framework.,Indoor implementation evidence; not comparative field effectiveness.,fulltext_review_complete,independent_fulltext_review_2026,2026-08-09
S43,analytical_primary,A Solar-Powered Fertigation System Based on Low-Cost Wireless Sensor Network Remotely Controlled by Farmer for Irrigation Cycles and Crops Growth Optimization,2020,10.24425/ijet.2019.130266,verified original seed,E2,full_text,fulltext_reviewed,Full text pp.59--68; Section IV pp.63--64; Section V pp.66--67; Fig.18.,irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Fertigation System ... Wireless Sensor Network ... Irrigation Cycles' (remotely controlled by farmer, no algorithm)",high,Only a short generic-node test; no seasonal/site/crop deployment results (p.67).,not_assessable,No concurrent comparator (Sections IV--V).,high,Short acquisition trend only; no water/fertilizer/crop horizon (p.67).,some_concerns,Retries described but failures/packets/exclusions not quantified (pp.63--67).,high,No agronomic model/code/configuration/raw data (Sections IV--V).,unclear,Forecast source and temporal availability unspecified (Abstract; Section IV).,high,Locator-backed full-text audit using adapted D1--D6 engineering RoB framework.,WSN/fertigation architecture feasibility only.,fulltext_review_complete,independent_fulltext_review_2026,2026-08-09
S44,analytical_primary,Design and Implementation of an Autonomous Intelligent Fertigation System for Cross-Regional Applications,2025,10.3390/act14090413,verified original seed,E2,full_text,fulltext_reviewed,"Actuators 2025, 14, 413: Sections 2–4, Figs. 1–14/Tables 1–3; Experimental Setup and Results, Section 5, Tables 4–8 and Figs. 15–23; Discussion §6, especially scalability limitation; Conclusions §7.",irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Autonomous Intelligent Fertigation System' ('intelligent' vague, no named strategy) | Full-text audit: Confirm P=tomato greenhouse fertigation, N=ESP8266/WiFi and UART data interconnection, C=closed-loop iris delivery and slope-adaptive fuzzy PID, E=prototype/ramp/flow/vision tests. Correct application framing from broad outdoor irrigation to small greenhouse prototype plus simulated slopes; qualify cross-regional applicability.",some_concerns,"Ramp tests use randomized order and three repetitions per slope, but the crop field test is one 3 m² tomato greenhouse and does not represent cross-regional deployment (Section 5, slope-test text/Table 6; §6 scalability limitation).",some_concerns,"Prototype performance is measured, but there is no concurrent conventional-fertigation comparator; the comparisons in Table 9 are literature/design comparisons rather than matched experimental arms (Section 5; Table 9/§6).",some_concerns,"Flow, irrigation/fertilization deviations, ramp speed, and vision mAP are defined (Tables 4, 6–8; Figs. 18, 22–23), but short prototype outcomes do not establish seasonal agronomic benefit.",some_concerns,"Three repetitions/random order are stated for slope testing and slippage at 39° is reported, but missing observations, failed runs, and exclusions are not comprehensively accounted for (Section 5, Tables 4 and 6).",some_concerns,"System parameters, design, and tables are detailed (Sections 2–5), but source code, raw experiment data, full fuzzy tuning artefacts, and vision dataset are not supplied.",some_concerns,"YOLOv5s uses a 70/20/10 train/validation/test split (Section 5), but split grouping/temporal separation and independence from deployment images are not specified.",some_concerns,Locator-backed full-text adapted RoB audit.,"Direct fertigation prototype evidence, but its ‘cross-regional’ claim is constrained by one small greenhouse plus simulated slope tests; no crop-yield or economic-effectiveness inference.",fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
S45,analytical_primary,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,2025,10.3390/agronomy15020366,verified original seed,E2,full_text,fulltext_reviewed,"PDF pp. 1–27; §2 Materials and Methods; §3.1 System Communication Tests, pp. 19–21, Figs. 10–12; §3.2 System Irrigation Demonstration, pp. 21–26, Table 5 and Figs. 13–18; §4, p. 26.",irrigation_outdoor,high,LoRaWAN_LPWAN,high,unspecified,low,"title: 'Smart Irrigation ... for Farmland Based on LoRa and Edge Computing' | Full-text audit: P, N and C are verified (winter-wheat irrigation; LoRa/4G edge architecture; moisture/ET-informed solenoid-valve actuation). E is limited to communication and soil-moisture demonstration; do not represent this as yield/water-saving comparative evidence.",some_concerns,"A real-world wheat grain-filling demonstration used two plots (§3.2), but allocation, replication, and site/season sampling are not described as a comparative design.",not_assessable,The two monitored plots demonstrate the system; §3.2/Table 5/Figs. 17–18 do not define a concurrent conventional-irrigation or alternative-network comparator.,some_concerns,"RSSI/SNR/transmission time and soil-moisture trajectories are presented (§3.1–3.2; Figs. 11–12, 17–18), but the short grain-filling demonstration does not report yield or a prespecified irrigation-effect outcome.",unclear,"The methods acknowledge that LoRa communication may fail to record valid data (§2), but §3 does not quantify attempted versus retained transmissions, missing sensor data, or exclusions.",some_concerns,"Hardware, thresholds and irrigation parameters are described (§2; Tables 2–5), but no raw telemetry, analysis code, or complete trial dataset is supplied.",unclear,"ET0/crop-coefficient irrigation inputs are described (§2), but no prospective decision-time data-availability or independent validation protocol is specified.",high,Locator-backed full-text adapted RoB audit.,"Direct farmland/wheat and LoRa-edge implementation evidence, but only a short two-plot system demonstration rather than comparative agronomic effectiveness evidence.",fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
S46,context_secondary,Leveraging LoRaWAN technology for precision agriculture in greenhouses,2020,10.3390/s20071827,verified replacement,E2,full_text,fulltext_reviewed,"PDF pp. 1–10; §3 Materials, Methods and Field Tests in a Greenhouse, pp. 3–6, Tables 3–4 and Figs. 3–8; §4 Results and Discussion, pp. 6–8, Tables 5–7 and Figs. 9–10; §6, p. 8.",greenhouse_microclimate,high,LoRaWAN_LPWAN,high,unspecified,low,"title: 'Leveraging LoRaWAN ... in greenhouses' (networking paper, no control strategy) | Full-text audit: P and N are verified (tomato greenhouse; LoRaWAN). C is not an evaluated closed-loop intervention and E is sensor/power monitoring only. Code this as network-monitoring evidence, not control effectiveness.",some_concerns,"Deployment is at one research greenhouse (PCH, Hoogstraten) with tomato crop (§3); the report says the system was tested across three tomato growth cycles (§4), but sampling/replication across greenhouses is not defined.",not_assessable,"The study reports a deployed LoRaWAN monitoring configuration, not a concurrent comparison with another network/control system (§§3–4).",some_concerns,"One-month August sensor variation and a per-message power measurement are reported (§4, Tables 5–6), but no packet-delivery series, actuator/control effect, irrigation, or crop-performance outcome is evaluated.",unclear,"The article discusses sensor-reading error and deployment challenges (§2–3), but gives no missing-packet, failed-run, exclusion, or data-cleaning accounting for the reported monitoring period.",some_concerns,"The LoRaWAN module configuration and sensor inventory are reported (Tables 3–4), but raw sensor/power observations, code, and a reproducible analysis artifact are absent.",not_assessable,This is a monitoring/deployment study; it does not present a predictive-model validation or train/test temporal protocol.,not_assessable,"Excluded from analytical RoB synthesis: the publisher article type is a secondary review, which the eligibility criteria exclude from primary evidence. The earlier locator-backed reading (previous verdict: high) is retained in the domain columns as a record of what was read, but it does not contribute to the Tier-1 RoB counts.","Direct greenhouse/tomato LoRaWAN monitoring feasibility evidence, but not evidence that a control strategy improves greenhouse or crop outcomes.",tier2_context_not_synthesised,batch_fulltext_audit_2026,2026-08-10
S47,analytical_primary,"Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",2025,10.1109/access.2025.3643617,verified original seed,E1,verified_metadata,inaccessible_not_reviewable,,greenhouse_microclimate,high,LoRaWAN_LPWAN,high,unspecified,low,"title: 'Hybrid LoRaWAN-MQTT Architecture for ... Smart Greenhouses' ('hybrid' = networking, not control) | Full-text audit: No correction made beyond existing metadata coding; do not claim validated latency, energy, or ADMR findings without full text.",not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Metadata title indicates portable-smart-greenhouse LoRaWAN–MQTT architecture; directness and evaluation claims require full text.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S48,analytical_primary,LoRa-Based Smart Agriculture Monitoring and Automatic Irrigation System,2025,10.4236/jcc.2025.133001,verified original seed,E2,full_text,fulltext_reviewed,Full text pp.1--20; Sections 5.1--5.3 pp.13--17; Table 1; Figs.9--13.,irrigation_outdoor,medium,LoRaWAN_LPWAN,high,unspecified,low,title: 'LoRa-Based ... Automatic Irrigation System',high,"Range test around a university, not diverse agricultural environments (p.15).",not_assessable,No comparator irrigation/communication system (pp.13--17).,some_concerns,Link/power measures reported; no irrigation/water/crop outcome horizon (pp.15--17).,some_concerns,"Signal loss reported, but packet attempts/PDR/actions/exclusions absent (p.15).",high,No code/raw experiment/cloud configuration (pp.9--15).,unclear,No timestamped decision or temporal-separation protocol (pp.7--13).,high,Locator-backed full-text audit using adapted D1--D6 engineering RoB framework.,Prototype communications evidence; not irrigation-effectiveness evidence.,fulltext_review_complete,independent_fulltext_review_2026,2026-08-09
S49,analytical_primary,Wireless sensor networks for greenhouse climate and plant condition assessment,2017,10.1016/j.biosystemseng.2016.11.005,verified replacement,E1,verified_metadata,inaccessible_not_reviewable,,greenhouse_microclimate,high,unspecified,low,unspecified,low,title: 'Wireless sensor networks for greenhouse climate ... assessment' (WSN protocol not named; monitoring) | Full-text audit: No full-text PNCE correction possible; retain as monitoring-oriented metadata classification only.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Title indicates greenhouse climate/plant-condition WSN assessment; whether it evaluates control remains unverified.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S50,analytical_primary,WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION SYSTEM,2018,10.21923/jesd.443576,verified original seed,E1,verified_metadata,inaccessible_not_reviewable,,irrigation_outdoor,high,unspecified,low,unspecified,low,title: 'WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION' (WSN protocol not named) | Full-text audit: No full-text PNCE correction possible.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Title indicates remote drip irrigation using WSN; design/evaluation scope remains unverified.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S51,technical_support_primary,IoT Based Smart Automated Agriculture and Real Time Monitoring System,2021,10.1109/icosec51865.2021.9591855,verified original seed,E1,verified_metadata,inaccessible_not_reviewable,,ncs_iot_platform,medium,unspecified,low,unspecified,low,title: 'IoT Based Smart Automated Agriculture ... Monitoring System' (generic platform) | Full-text audit: No full-text PNCE correction possible.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Generic IoT agriculture platform title; it remains indirect technical-support evidence pending full text.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S52,analytical_primary,"Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Applications Based on LoRa and LoRaWAN Sensor Nodes",2020,10.3390/s20236865,verified original seed,E2,full_text,fulltext_reviewed,"PDF pp. 1–18; §3 Propagation Modelling, pp. 5–8; §4 Simulation Results, pp. 8–11, Tables 3–5 and Figs. 11–14; §5 Experiments, pp. 11–16, Tables 6–9 and Figs. 15–20; §6, p. 16.",irrigation_outdoor,medium,LoRaWAN_LPWAN,high,unspecified,low,title: '... Based on LoRa and LoRaWAN Sensor Nodes' | Full-text audit: P/N/E are verified as smart-irrigation communication testbeds and RF simulation/measurement. The claimed ‘smart irrigation system’ does not itself evaluate irrigation actuation or crop/water outcomes; restrict E to communications performance.,some_concerns,"Evidence derives from two purpose-built outdoor testbeds and selected gateway/node locations (§5.1–5.2), limiting representativeness of irrigated farms and hardware/network configurations.",some_concerns,"LoRaWAN 868 MHz and LoRa 433 MHz systems are both tested (§5.1–5.3), but they use different protocols, frequencies and hardware; this is not a matched comparison of irrigation strategies.",some_concerns,"Measured RF power is compared with 3D ray-launching simulations (§§4–5; Figs. 11–14 and Tables 9), but the outcomes are propagation/link measures, not irrigation, water-use, or crop outcomes.",some_concerns,"Test procedures and positions are described (§5.2), but attempted/failed transmissions, retained observations, and exclusions are not fully enumerated.",some_concerns,"Simulation parameters and testbed specifications are reported (Tables 3–8), but raw measurements, 3D environment/model files, and executable analysis artifacts are not supplied.",not_assessable,The paper validates deterministic RF propagation simulation against measurements; it does not report a predictive learning train/test workflow to assess temporal leakage.,some_concerns,Locator-backed full-text adapted RoB audit.,"Relevant LoRa/LoRaWAN deployment and propagation evidence for irrigation-node communications, but indirect for effectiveness of an irrigation-control intervention.",fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
S55,analytical_primary,Design of IoT Monitoring System Based on LoRaWAN Architecture for Smart Green House,2022,10.1088/1755-1315/1012/1/012090,verified original seed,E2,full_text,fulltext_reviewed,Full text pp.1--6; Methods pp.2--4; Table 1/Fig.5 p.5.,greenhouse_microclimate,high,LoRaWAN_LPWAN,high,unspecified,low,title: 'LoRaWAN Architecture for Smart Green House' (monitoring),high,Point-to-point line-of-sight 100--1000 m trials only (pp.2--4).,not_assessable,No concurrent comparator (pp.2--5).,some_concerns,"RSSI/SNR reported; PDR, duration and greenhouse outcome absent (pp.3,5).",high,"Collisions acknowledged but not quantified; missing/excluded runs absent (pp.3,5).",high,"No code, exact transmission config or raw observations (pp.3--5).",not_assessable,Monitoring/link study; no predictive validation.,high,Locator-backed full-text audit using adapted D1--D6 engineering RoB framework.,LoRaWAN link/monitoring evidence only.,fulltext_review_complete,independent_fulltext_review_2026,2026-08-09
S56,analytical_primary,Research and Design of Greenhouse Environment Monitoring System Based on NB-IoT,2021,10.1109/ccdc52312.2021.9601377,verified original seed,E1,verified_metadata,inaccessible_not_reviewable,,greenhouse_microclimate,high,NB-IoT,high,unspecified,low,title: 'Greenhouse Environment Monitoring System Based on NB-IoT' | Full-text audit: No full-text PNCE correction possible; avoid treating monitoring as proven control.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,No full text available for locator-backed assessment.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Metadata indicates an NB-IoT greenhouse monitoring system; full-text validation/effectiveness is unverified.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S57,technical_support_primary,Smart Agriculture: Automated Controlled Monitoring System using Internet of Things,2019,10.35940/ijrte.c6538.098319,verified original seed,E2,full_text,fulltext_reviewed,"PDF pp. 1–7; §III Proposed Automated Monitoring and Control System, pp. 3–4, Figs. 2–4 and Table 1; §IV Experimental Analysis and Results, pp. 5–6; §V Conclusion, p. 6.",ncs_iot_platform,medium,unspecified,low,unspecified,low,title: 'Automated Controlled Monitoring System using Internet of Things' (generic IoT platform) | Full-text audit: P and N are supported (hydroponic CEA and IoT/Wi-Fi architecture). C is an alert/threshold architecture but closed-loop actuator effect is not quantitatively evaluated; E is only a descriptive prototype display. Do not use for effectiveness claims.,high,"The report describes a prototype tested on a tomato plant (§III/§IV); no sites, replications, duration, sampling frame, or agricultural deployment selection is reported.",not_assessable,"No concurrent control system, manual practice, or alternative architecture is compared (§IV).",high,"§IV offers descriptive sensor-display narrative and seasonal background values, stating results are ‘relatively close to real world’; it gives no defined numerical performance endpoints, error statistic, water, crop, or control outcome.",unclear,"No test-run count, missing-data/failure definition, exclusions, or handling protocol is reported in §§III–IV.",high,"Architecture/algorithm narrative and Table 1 are insufficient to reproduce the implementation; no source code, raw readings, full sensor configuration, or experimental dataset is supplied.",not_assessable,No predictive model validation or temporal data-splitting workflow is reported.,high,Locator-backed full-text adapted RoB audit.,Controlled-environment hydroponic IoT prototype feasibility only; it is indirect technical-support evidence and not a comparative agronomic/control-effect study.,fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
S58,analytical_primary,Wireless sensor network to identify the reduction of meteorological gradients in greenhouse in subtropical conditions,2020,10.4081/jae.2020.1105,verified original seed,E3,full_text,fulltext_reviewed,Full text pp.1--7; Methods pp.2--3; Tables 1--3/Fig.2 pp.3--6.,greenhouse_microclimate,high,unspecified,low,unspecified,low,title: 'Wireless sensor network ... meteorological gradients in greenhouse' (measurement study),low,"Five greenhouse configurations, 45 points, ten days/configuration (pp.1--3).",some_concerns,Randomized design stated; order/weather balance/contemporaneous control unclear (p.3).,low,30-s readings for ten days/configuration with defined tests (p.3).,some_concerns,Fan failure noted; handling of anomalous/missing data unclear (p.6).,some_concerns,Sensors/layout/cadence/tests specified; no raw data/scripts (pp.2--3).,not_assessable,"Physical monitoring study, no predictive validation.",some_concerns,Locator-backed full-text audit using adapted D1--D6 engineering RoB framework.,Controlled greenhouse microclimate monitoring; not control/yield evidence.,fulltext_review_complete,independent_fulltext_review_2026,2026-08-09
S59,analytical_primary,Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture,2019,10.3390/s19020276,verified original seed,E3,full_text,fulltext_reviewed,"Full text, Sections 4–6; pilot descriptions Sections 4.1–4.4 and Figures 2–5; deployment scenarios Sections 5.1–5.5 and Figures 6–10; testbed design Section 6.1/Figure 11; scalability results Section 6.2, Tables 1–2 and Figures 12–13.",irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Smart Water Management Platform ... Precision Irrigation' | Full-text audit: Retain irrigation_outdoor application classification, but qualify outcome evidence as FIWARE testbed/scalability rather than demonstrated water/yield effect.",some_concerns,"Four named agricultural pilot scenarios are described, but performance evaluation abstracts them to a FIWARE testbed rather than sampling farm/seasonal irrigation outcomes (Sections 4, 6.1).",some_concerns,"Cloud/fog deployment scenarios are compared, but no concurrent usual-irrigation or agronomic control is evaluated (Sections 5–6).",some_concerns,"Elapsed-time/scalability measures are defined for the testbed, not direct water/yield endpoints (Sections 6.1–6.2; Table 1; Figure 12).",unclear,"The text reports completion limitations at 15,000 sensors but supplies no prespecified missing-run/exclusion handling (Section 6.2; Table 2).",some_concerns,"Architecture and scenario details are reported, but no code, raw workload traces, or complete reproducible configuration is linked (Sections 5–6).",not_assessable,No predictive validation exercise is the evaluated claim.,some_concerns,Locator-backed full-text adapted RoB audit.,"Directly agriculture-oriented irrigation platform/pilot architecture; the evaluated evidence is infrastructure scalability, not comparative irrigation effectiveness or crop outcome evidence.",fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
